Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mandarin Chinese	1	Constructed by linguist	Wǒ chī le fàn.	我吃了饭。	wo chi-le fan	1SG eat-PERF meal	I ate my meal. / I had my meal.
Mandarin Chinese	2	Constructed by native speaker linguist	Dírén èle tā sāntiān.	敌人饿了他三天。	diren e-le ta san-tian	enemy hungry-PERF 3SG three-day	The enemy starved him for three days.
Mandarin Chinese	3	Constructed by linguist	Érzi yōngbào māma.	儿子拥抱妈妈。	erzi yongbao mama	son hug Mom	The son hugs his Mom.
Mandarin Chinese	4	Constructed by linguist	Wǒmen zàohǎo le chēzi.	我们造好了车子。	women zao-hao-le chezi	1PL make-finished-PERF car	We have made the car.
Mandarin Chinese	5	Constructed by linguist	Lǎo Wáng shàngzhōu sǐ le.	老王上周死了。	Lao Wang shang-zhou si-le	Lao Wang last-week die-PERF	Old Wang died last week.
Mandarin Chinese	6	Constructed by native speaker linguist	Wǒmen bǎ chē zào chūlái le.	我们把车造出来了。	women ba che zao-chulai-le	1PL BA car make-come.out-PERF	We have made the car.
Mandarin Chinese	7	Constructed by linguist	Wǒ zài kàn nàfú huà.	我在看那幅画。	wo zai kan na-fu hua	1SG PRES look.at that-CL picture	I am looking at that picture.
Mandarin Chinese	8	Constructed by linguist	Wǒ dǎduàn le gùnzi.	我打断了棍子。	wo daduan-le gunzi	1SG break-PERF stick	I broke the stick.
Mandarin Chinese	9	Constructed by linguist	Wǒ zìjǐ xǐ yīfú.	我自己洗衣服。	wo ziji xi yifu	1SG self wash clothes	I wash my clothes myself.
Mandarin Chinese	10	Constructed by linguist	Wǒ bǎ gùnzi dǎduàn le.	我把棍子打断了。	wo ba gunzi daduan-le	1SG BA stick break-PERF	I broke the stick.
Mandarin Chinese	11	Constructed by linguist	Tāde chuán zuótiān chén le.	他的船昨天沉了。	ta-de chuan zuotian chen-le	3SG-POSS boat yesterday sink-PERF	His boat sank yesterday.
Mandarin Chinese	12	Constructed by linguist	Wǒmen jiànhǎo le fángzi.	我们建好了房子。	women jian-hao-le fangzi	1PL build-finished-PERF house	We have built a house.
Mandarin Chinese	13	Constructed by linguist	Háizi sī le yīběn shū.	孩子撕了一本书。	haizi si-le yi-ben shu	kid tear-PERF one-CL book	The kid tore a book.
Mandarin Chinese	14	Constructed by linguist	Wǒmen bǎ fángzi jiànhǎo le.	我们把房子建好了。	women ba fangzi jian-hao-le	1PL BA house build-finished-PERF	We have built the house.
Mandarin Chinese	15	Constructed by linguist	Mèimei pà lǎoshǔ.	妹妹怕老鼠。	meimei pa laoshu	younger.sister fear rat	My younger sister fears rats.
Mandarin Chinese	16	Constructed by linguist	Wǒ kànjiànle yītóu níu.	我看见了一头牛。	wo kanjian-le yi-tou niu	1SG see-PERF one-CL cow	I saw a cow.
Mandarin Chinese	17	Constructed by linguist	Māma gàosù wǒ yījiàn shì.	妈妈告诉我一件事。	mama gaosu wo yi-jian shi	Mom tell 1SG one-CL matter	Mom told me something.
Mandarin Chinese	18	Constructed by linguist	Yéye jiāo le wǒ liǎngmén shǒuyì.	爷爷教了我两门手艺。	yeye jiao-le wo liang-men shouyi	grandpa teach-PERF 1SG two-CL skill	Grandpa taught me two skills.
Mandarin Chinese	19	Constructed by linguist	Bùyīhuìer,lǎohǔ chūxiàn le.	不一会儿，老虎出现了。	buyihuier laohu chuxian le	after.a.while tiger appear PERF	After a while, the tiger appeared."
Mandarin Chinese	20	Constructed by linguist	Jiějie wéndàole huāxiāng.	姐姐闻到了花香。	jiejie wen-dao-le hua-xiang	elder.sister smell-COM-PERF flower-fragrance	My elder sister smelled fragrance of flower.
Mandarin Chinese	21	Constructed by linguist	Wǒ zài xiǎng yīgè wèntí.	我在想一个问题。	wo zai xiang yi-ge wenti	1SG PRES think one-CL problem	I am thinking about a problem.
Mandarin Chinese	22	Constructed by linguist	Xiǎomíng wèn tā māma yào yīxiē qián.	晓明问他妈妈要一些钱。	Xiaoming wen ta mama yao yixie qian	Xiaoming PREP 3SG Mom ask.for some money	Xiaoming asked his Mom for some money.
Mandarin Chinese	23	Constructed by linguist	Xiǎo Wáng jīntiān shēngbìng le.	小王今天生病了。	Xiao Wang jintian shengbing-le	Xiao Wang today be.ill-PERF	Little Wang is ill today.
Mandarin Chinese	24	Constructed by linguist	Dì gān le.	地干了。	di gan-le	ground dry-PERF	The ground (has) dried.
Mandarin Chinese	25	Constructed by linguist	Lǎo wáng hěn bēishāng.	老王很悲伤。	Lao Wang hen beishang	Lao Wang very sad	Old Wang is very sad.
Mandarin Chinese	26	Constructed by linguist	wǒ è le.	我饿了。	wo e-le	1SG hungry-PERF	I am hungry.
Mandarin Chinese	27	Constructed by linguist	Dìdi zài pāidǎ wǒde fángmén.	弟弟在拍打我的房门。	didi zai paida wode fang-men	younger.brother PRES beat my room-door	My younger brother is beating the door of my room.
Mandarin Chinese	28	Constructed by linguist	Xiǎo Lì cháo wǒ zhǎyǎnjing.	小李朝我眨眼睛。	Xiao Li chao wo zhayanjing	Xiao Li PREP 1SG blink.eye	Little Li blinked at me.
Mandarin Chinese	29	Constructed by linguist	Shuǐ kāi le.	水开了。	shui kai-le	water boil-PRES	The water is boiling.
