Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Japanese (standard)	1		Ken-ga gohan-o tabe-ta.		Ken-ga gohan-o tabe-ta	Ken-nom rice-acc eat-past	Ken ate the rice.
Japanese (standard)	2		Uma-ga hasi-ru.		uma-ga hasi-ru	horse-nom run-pres	The horse runs.
Japanese (standard)	3		Mari-ga sensei-ni syasin-o mise-ta.		Mari-ga sensei-ni syasin-o mise-ta	Mari-nom teacher-dat picture-acc show-past	Mari showed pictures to the teacher.
Japanese (standard)	4		Sensei-ga syasin-o mise-rare-ta.		sensei-ga syasin-o mise-rare-ta	teacher-nom picture-acc show-pass-past	The teacher was shown a picture.
Japanese (standard)	5		Okaasan-ga tiisai kodomo-o dakisime-ta.		okaasan-ga tiisai kodomo-o dakisime-ta	mother-nom little child-acc hug-past	Mother hugged her little child.
Japanese (standard)	6		Mari-ga kabin-o kowasi-ta.		Mari-ga kabin-o kowasi-ta	Mari-nom vase-acc break-past	Mary broke the vase.
Japanese (standard)	7		Booru-ga korogat-ta.		booru-ga korogat-ta	ball-nom roll-past	The ball rolled.
Japanese (standard)	8		Ken-ga koppu-ni mizu-o mitasi-ta.		Ken-ga koppu-ni mizu-o mitasi-ta	Ken-nom cup-loc water-acc fill-past	Ken filled water into the cup.
Japanese (standard)	9		Ken-ga Mari-o mi-ta.		Ken-ga Mari-o mi-ta	Ken-nom Mari-acc look-past	Ken looked at Mari./Ken saw Mari.
Japanese (standard)	10		Otoko-ni kuma-ga mie-ta.		otoko-ni kuma-ga mie-ta	man-dat bear-nom see-past	The man saw the bear.
Japanese (standard)	11		Kuma-ga syoonen-no nioi-o kai-da.		kuma-ga syoonen-no nioi-o kai-da	bear-nom boy-gen smell-acc sniff-past	The bear sniffed the boy.
Japanese (standard)	12		Kodomo-ga kuma-o kowagat-ta.		kodomo-ga kuma-o kowagat-ta	child-nom bear-acc fear-past	The child feared the bear.
Japanese (standard)	13		Kuma-ga kodomo-o kowagar-ase-ta.		kuma-ga kodomo-o kowagar-ase-ta	bear-nom child-acc fear-caus-past	The bear frightened the child.
Japanese (standard)	14		Kodomo-ga omotya-o ki-ni-it-ta.		kodomo-ga omotya-o ki-ni-it-ta	child-nom toy-acc mind-loc-enter-past	The child liked the toy.
Japanese (standard)	15		Syoonen-ga syoozyo-o sit-te i-ru.		syoonen-ga syoozyo-o sit-te i-ru	boy-nom girl-acc know-ger be-pres	The boy knows the girl.
Japanese (standard)	16		Syoozyo-ga sono-koto-o kangae-ta.		syoozyo-ga sono-koto-o kangae-ta	girl-nom that-matter-acc think-past	The girl thought about that matter.
Japanese (standard)	17		Dansei-ga zyosei-o sagasi-ta.		dansei-ga zyosei-o sagasi-ta	man-nom woman-acc search-past	The man searched for the woman.
Japanese (standard)	18		Ken-ga osara-o arat-ta.		Ken-ga osara-o arat-ta	Ken-nom plate-acc wash-past	Ken washed the plates.
Japanese (standard)	19		Okaasan-ga musume-ni huku-o kise-ta.		okaasan-ga musume-ni huku-o kise-ta	mother-nom daughter-dat clothes-acc dress-past	The mother dressed her daughter.
Japanese (standard)	20		Otoko-ga hige-o sot-ta.		otoko-ga hige-o sot-ta	man-nom beard-acc shave-past	The man shaved his beard.
Japanese (standard)	21		Watasi-ga kodomo-o tetudat-ta.		watasi-ga kodomo-o tetudat-ta	1.sg-nom child-acc help-past	I helped the child.
Japanese (standard)	22		Kodomo-ga otona-no ato-ni tuzui-ta.		kodomo-ga otona-no ato-ni tuzui-ta	child-nom adult-gen back-loc follow-past	The children followed the adults.
Japanese (standard)	23		Ken-ga Mari-ni at-ta.		Ken-ga Mari-ni at-ta	Ken-nom Mari-dat meet-past	Ken met Mari.
Japanese (standard)	24		Ken-ga Mari-ni sono-koto-o hanasi-ta.		Ken-ga Mari-ni sono-koto-o hanasi-ta	Ken-nom Mari-dat that-matter-acc talk-past	Ken talked to Mari about that matter.
Japanese (standard)	25		Ken-ga Mari-ni tasuke-o motome-ta.		Ken-ga Mari-ni tasuke-o motome-ta	Ken-nom Mari-dat help-acc ask-past	Ken asked Mari for her help.
Japanese (standard)	26		Zyosei-ga kodomo-ni (nanika-o) saken-da.		zyosei-ga kodomo-ni nanika-o saken-da	woman-nom child-dat something-acc shout-past	The woman shouted (something) at the child.
Japanese (standard)	27		Ken-ga Mari-ni sinzitu-o tuge-ta.		Ken-ga Mari-ni sinzitu-o tuge-ta	Ken-nom Mari-dat truth-acc tell-past	Ken told Mari the truth.
Japanese (standard)	28		Ken-ga Mari-ni "hai." to it-ta.		Ken-ga Mari-ni hai to it-ta	Ken-nom Mari-dat yes quot say-past	Ken said "Yes." to Mari."
Japanese (standard)	29		Ken-ga sono-ko-o Mari-to yon-da.		Ken-ga sono-ko-o Mari-to yon-da	Ken-nom that-child-acc Mari-quot call-past	Ken called that child Mari.
Japanese (standard)	30		Otoko-tati-ga (ki-de) ie-o tate-ta.		otoko-tati-ga ki-de ie-o tate-ta	man-pl-nom wood-instr house-acc build-past	The men build the house (out of wood).
Japanese (standard)	31		Ken-ga (hanmaa-de) mado-o kowasi-ta.		Ken-ga hanmaa-de mado-o kowasi-ta	Ken-nom hammer-instr window-acc break-past	Ken broke the window (with a hammer).
